Transaction_ID,Date,Total_Cost,Discount_Rate,Sales_Channel,Order_Priority,Warehouse_Code,Ship_Mode,Delivery_Status,Customer_Satisfaction,Item_Returned,Return_Reason,Payment_Type,Taxable,Region,Country
200,2020-01-01 20:32:25.945945945,8265.37454940804,0.2,Online,High,WH-3,2-Day,Cancelled,Neutral,False,Wrong Item,Wire Transfer,False,West,Canada
321,2020-01-02 06:55:08.108108108,4047.8504787607,0.0,Reseller,Critical,WH-1,Overnight,Backorder,Satisfied,True,Damaged,PayPal,True,South,Mexico
989,2020-01-06 08:12:58.378378378,5096.553818483975,0.05,Direct,Critical,WH-1,Overnight,Pending,Unsatisfied,True,Damaged,PayPal,True,West,Canada
682,2020-01-07 22:03:14.594594594,8194.281992877543,0.0,Reseller,Medium,WH-1,Express,Pending,Unsatisfied,False,Wrong Item,Cash,True,South,Canada
484,2020-01-07 07:08:06.486486486,8331.32924886882,0.2,Direct,Low,WH-2,2-Day,Delivered,Satisfied,True,Late,Cash,False,South,Mexico
483,2020-01-01 21:11:21.081081081,6894.375243656562,0.05,Reseller,Medium,WH-3,2-Day,Backorder,Unsatisfied,True,Not Specified,PayPal,False,South,USA
757,2020-01-01 21:11:21.081081081,4611.329101247279,0.15,Direct,Critical,WH-3,Express,Cancelled,Neutral,False,Late,Credit Card,True,South,Canada
985,2020-01-06 00:25:56.756756756,7623.669347238553,0.0,Direct,Critical,WH-2,Overnight,Delivered,Neutral,True,Not Specified,Credit Card,False,North,Canada
795,2020-01-08 03:53:30.810810810,6194.880826757808,0.0,Direct,Medium,WH-1,Express,Delivered,Neutral,True,Late,PayPal,False,East,Mexico
459,2020-01-06 22:16:12.972972973,5933.960843694132,0.0,Partner,Critical,WH-3,Overnight,Pending,Unsatisfied,True,Late,Credit Card,False,South,USA
826,2020-01-02 04:32:25.945945945,4697.420195618569,0.0,Reseller,Medium,WH-2,Overnight,Delivered,Unsatisfied,False,Wrong Item,Cash,True,East,Canada
116,2020-01-07 12:32:25.945945946,5350.517195865819,0.0,Direct,Critical,WH-2,Regular,Cancelled,Satisfied,False,Not Specified,Cash,True,East,Canada
417,2020-01-06 05:11:21.081081081,980.913486556204,0.0,Partner,High,WH-3,Express,Backorder,Unsatisfied,False,Damaged,Credit Card,True,West,Canada
367,2020-01-08 22:16:12.972972973,5943.900905880649,0.1,Partner,Critical,WH-3,Express,Delivered,Unsatisfied,False,Wrong Item,Credit Card,False,East,Canada
233,2020-01-05 13:11:21.081081081,6757.282871927786,0.15,Reseller,Medium,WH-1,Overnight,Delivered,Unsatisfied,True,Late,Credit Card,False,North,Mexico
191,2020-01-05 23:34:03.243243243,4743.788008955943,0.0,Partner,Medium,WH-1,Regular,Pending,Satisfied,True,Late,PayPal,False,North,USA
891,2020-01-06 22:29:11.351351351,5013.353792234297,0.05,Direct,High,WH-2,Regular,Cancelled,Neutral,False,Damaged,Wire Transfer,False,West,Canada
770,2020-01-05 17:17:50.270270270,9438.36161081244,0.0,Direct,Medium,WH-1,2-Day,Delivered,Neutral,True,Late,Credit Card,False,North,Canada
387,2020-01-07 01:17:50.270270270,7036.432792204224,0.1,Online,High,WH-1,Express,Backorder,Neutral,True,Wrong Item,Credit Card,False,South,Canada
641,2020-01-02 09:04:51.891891891,6980.821047923439,0.05,Direct,Low,WH-1,Express,Cancelled,Unsatisfied,False,Damaged,Credit Card,True,West,USA
278,2020-01-02 00:12:58.378378378,5034.828782162813,0.2,Partner,Low,WH-1,Regular,Pending,Satisfied,False,Late,Cash,True,North,Mexico
649,2020-01-02 23:21:04.864864864,7657.985051266169,0.0,Partner,Low,WH-3,Overnight,Backorder,Satisfied,False,Damaged,Cash,True,South,Mexico
599,2020-01-06 21:50:16.216216216,3755.9437915651183,0.1,Reseller,High,WH-1,Overnight,Delivered,Unsatisfied,False,Late,Credit Card,True,West,Canada
516,2020-01-08 01:30:48.648648648,881.3191613109819,0.0,Reseller,Low,WH-3,Express,Delivered,Neutral,False,Damaged,PayPal,False,West,Mexico
871,2020-01-03 06:16:12.972972972,6869.126171070717,0.2,Partner,High,WH-2,Overnight,Pending,Unsatisfied,True,Damaged,Credit Card,True,West,USA
46,2020-01-09 18:48:38.918918919,7743.24610741125,0.2,Partner,High,WH-3,Overnight,Pending,Unsatisfied,False,Wrong Item,Wire Transfer,True,East,Canada
481,2020-01-02 14:55:08.108108108,6887.646511271185,0.05,Direct,Critical,WH-3,2-Day,Delivered,Neutral,True,Damaged,PayPal,False,West,USA
671,2020-01-07 19:40:32.432432432,5671.2764325260505,0.0,Reseller,Low,WH-2,Overnight,Pending,Unsatisfied,False,Not Specified,Wire Transfer,True,West,Mexico
744,2020-01-04 09:04:51.891891891,6154.682460834315,0.05,Direct,High,WH-3,Regular,Pending,Satisfied,True,Not Specified,Credit Card,True,North,Mexico
375,2020-01-02 10:22:42.162162162,7419.523116226637,0.05,Direct,Critical,WH-2,Regular,Backorder,Neutral,False,Late,Credit Card,True,North,Mexico
717,2020-01-01 02:22:42.162162162,3869.92128893702,0.1,Partner,High,WH-3,Regular,Pending,Satisfied,True,Not Specified,Credit Card,False,West,USA
136,2020-01-05 16:25:56.756756756,4107.639467733516,0.15,Partner,High,WH-2,Regular,Backorder,Neutral,True,Not Specified,Wire Transfer,True,West,USA
166,2020-01-08 05:50:16.216216216,3135.9144573870635,0.1,Online,Low,WH-2,Express,Delivered,Unsatisfied,True,Not Specified,Credit Card,False,East,Canada
651,2020-01-01 09:56:45.405405405,5096.553818483975,0.15,Reseller,High,WH-2,Regular,Pending,Satisfied,True,Damaged,Wire Transfer,True,East,Canada
779,2020-01-06 08:38:55.135135135,6016.129646141524,0.05,Reseller,Critical,WH-3,2-Day,Backorder,Satisfied,False,Late,Wire Transfer,True,North,Canada
902,2020-01-02 16:51:53.513513513,4293.659511892614,0.15,Online,Medium,WH-1,2-Day,Cancelled,Satisfied,True,Unknown,PayPal,True,North,Mexico
228,2020-01-04 01:17:50.270270270,1607.5392082791188,0.2,Partner,Low,WH-2,2-Day,Delivered,Neutral,True,Not Specified,Credit Card,False,South,USA
34,2020-01-03 19:40:32.432432432,4028.93899493158,0.15,Reseller,Low,WH-1,2-Day,Backorder,Unsatisfied,True,Not Specified,Wire Transfer,True,South,Canada
612,2020-01-02 03:14:35.675675675,3887.663671868953,0.1,Direct,High,WH-2,Regular,Cancelled,Neutral,True,Not Specified,Cash,True,South,Canada
234,2020-01-04 03:01:37.297297297,9349.77168594007,0.0,Reseller,High,WH-1,Express,Cancelled,Satisfied,False,Not Specified,Cash,True,West,Mexico
50,2020-01-07 04:19:27.567567567,2167.170460122895,0.0,Online,Critical,WH-2,Regular,Delivered,Unsatisfied,True,Late,Wire Transfer,False,West,Mexico
8,2020-01-01 04:19:27.567567567,5852.379462596614,0.05,Partner,Medium,WH-3,Regular,Backorder,Satisfied,True,Damaged,Cash,False,West,Canada
330,2020-01-06 22:29:11.351351351,2226.899238564938,0.15,Partner,Medium,WH-2,2-Day,Backorder,Unsatisfied,True,Unknown,Cash,False,West,Mexico
822,2020-01-09 09:56:45.405405405,5096.553818483975,0.2,Online,Critical,WH-2,2-Day,Pending,Satisfied,True,Wrong Item,PayPal,False,North,USA
804,2020-01-08 23:08:06.486486486,3854.4774449147,0.05,Online,Low,WH-3,Overnight,Cancelled,Satisfied,False,Not Specified,PayPal,False,East,Canada
